employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
1766819820,Kelly,Lawson,Kelly.Lawsoncompany.com,2023-03-10,DevOps Engineer,IT,121428,N/A,7227 Judy Groves,Wilsonhaven,VT,97030,2003-04-12,
1766819821,laurie,TUCKER,Laurie@Tucker,2025-04-11,Data Engineer,Analytics,44864,N/A,47433 Padilla Station,Whitefurt,GA,82500,1984-10-31,Terminated
1766819822,ian,TYLER,Ian.Tyler@company.com,2016-03-25,it support specialist, it ,"$145,582",N/A,3386 Richard Islands,West Kimberlyfort,VA,66793,1972-03-13,On Leave
1766819823,michael,Crawford,Michael.Crawford@company.com,2019-05-17,sales manager, sales ,"$81,707",,09464 Victor Road,Amyside,NE,14573,1997-04-24,ACTIVE
1766819824,kyle,Valencia,Kyle.Valencia@company.com,2022-02-10,Security Analyst,IT,"$116,323",1766819823,949 Harvey Plaza Suite 226,North Thomasfort,CA,93214,1960-05-25,On Leave
1766819825,erin,Garza,erin.garza@COMPANY.COM,2022-11-09,data engineer, analytics ,"$133,454",1766819823,7241 Robert Way,Port Justin,AL,14978,2000-09-05,Terminated
1766819826,Billy,WELLS,Billy.Wells@company.com,2016-11-28,Talent Acquisition Specialist,HR,"$112,291",1766819823,48576 Hunt Underpass Apt. 689,Stephanietown,PR,49877,1972-11-02,Active
1766819827,Julie,GARCIA,Julie@Garcia,2016-10-04,Sales Associate,Sales,"$79,422",1766819823,396 Lara Brook,New Jennifer,KS,46770,1984-03-04,Active
1766819828,Zachary,REYES,Zachary.Reyes@company.com,2019-04-28,IT Support Specialist,IT,"$113,735",N/A,6025 Rodriguez Rue,West Vicki,FM,47044,1977-03-28,ACTIVE
1766819829,natalie,PATTON,Natalie.Patton@company.com,2021-01-06,DevOps Engineer,IT,"$85,568",1766819823,53183 Briggs Passage Suite 633,East Christopher,OH,12622,1989-11-24,ACTIVE
1766819830,Walter,Bates,Walter.Bates@company.com,2027-11-03,Learning & Development Lead,HR,62297,1766819823,85281 Heather Landing Suite 272,South Paula,ID,37182,1988-03-07,Active
1766819831,Eric,HILL,Eric.Hill@company.com,2016-02-05,Product Analyst,Analytics,139160,1766819823,3237 Edward Glen Apt. 158,Beltranstad,MA,12489,1983-02-22,
1766819832,lori,DANIEL,lori.daniel@COMPANY.COM,2017-04-23,Learning & Development Lead,HR,"$79,902",1766819823,3643 Gary Corners,Hallbury,IA,56160,1998-03-07,On Leave
1766819833,Mark,WILLIS,Mark@Willis,2017-04-18,Systems Administrator,IT,89180,1766819823,36702 Ellis Village,North Carriehaven,IL,97942,1988-05-30,Active
1766819834,Thomas,LEVY,Thomas.Levy@company.com,2016-02-15,Business Development Representative,Sales,"$115,122",1766819823,2138 Austin Roads,New Chelsea,KY,43385,1961-12-17,
1766819835,Donna,WILLIAMS,Donna.Williams@company.com,2021-02-14,Learning & Development Lead,HR,"$136,246",1766819823,376 Christopher Ridges,Brandonborough,VT,27359,1992-05-19,On Leave
1766819836,Heather,Miller,Heather.Miller@company.com,2024-01-03,Data Engineer,Analytics,50401,1766819823,0299 Dodson Ramp Suite 908,Crystalside,FL,76540,1963-03-23,ACTIVE
1766819837,christopher,BELL,Christopher.Bellcompany.com,2025-10-01,Business Intelligence Analyst,Analytics,"$144,353",1766819823,04232 Timothy Cape,West Angelicaborough,NM,29669,1991-02-08,Terminated
1766819838,Robert,Holt,Robert.Holt@company.com,2020-03-26,Data Engineer,Analytics,97525,1766819823,290 Cynthia Wells Suite 931,North Kellie,CA,86965,1997-10-04,On Leave
1766819839,Adrian,Jones,Adrian.Jones@company.com,2019-04-13,systems administrator, it ,125211,1766819823,3543 West Walk,Lake Derricktown,MD,74164,1965-04-24,On Leave
1766819840,Sara,Graves,Sara.Graves@company.com,2020-03-15,HR Assistant,HR,"$107,658",1766819823,62230 Harrington Mews Suite 942,North Anthonyhaven,NM,38987,2001-10-18,
1766819841,brandy,Gomez,Brandy.Gomez@company.com,2018-02-08,HR Manager,HR,"$94,219",N/A,25989 Hale Station,Judithland,WI,63209,1961-07-22,ACTIVE
1766819842,Nicholas,REILLY,nicholas.reilly@COMPANY.COM,2020-02-08,DevOps Engineer,IT,85613,1766819823,49357 Jennifer Harbors,Port Karentown,NE,39301,1984-09-06,ACTIVE
1766819843,thomas,Park,Thomas.Park@company.com,2020-05-08,HR Assistant,HR,"$69,316",1766819841,4970 Lopez Station Suite 614,Gonzalezland,MH,04963,1971-11-22,Terminated
1766819844,Carla,Lee,Carla.Lee@company.com,2016-06-08,Talent Acquisition Specialist,HR,"$113,275",1766819841,7113 Noah Expressway Apt. 245,Leeton,NJ,57385,1978-02-05,ACTIVE
1766819845,Jeffrey,Stanley,Jeffrey.Stanley@company.com,2025-10-09,Systems Administrator,IT,91997,1766819841,64197 Jordan Ramp,New Ambershire,AS,30081,2001-10-11,On Leave
1766819846,Maria,PRICE,Maria.Price@company.com,2023-10-31,Security Analyst,IT,"$71,170",1766819823,6404 Santos Unions Apt. 689,North Tina,WV,99853,1967-04-13,Terminated
1766819847,Marvin,VANG,marvin.vang@COMPANY.COM,2017-05-18,Business Intelligence Analyst,Analytics,99797,1766819823,7585 Davis Street Apt. 997,North Travis,ME,88220,1992-11-21,Active
1766819848,michael,SIMS,Michael.Sims@company.com,2019-06-19,it manager, it ,74512,,1957 James Route Apt. 938,Duncanbury,CT,10218,1968-11-06,Terminated
1766819848,michael,SIMS,Michael.Sims@company.com,2019-06-19,it manager, it ,74512,,1957 James Route Apt. 938,Duncanbury,CT,10218,1968-11-06,Terminated
1766819848,michael,SIMS,Michael.Sims@company.com,2019-06-19,it manager, it ,74512,,1957 James Route Apt. 938,Duncanbury,CT,10218,1968-11-06,Terminated
1766819851,sarah,Cameron,Sarah.Cameron@company.com,2021-03-13,Analytics Manager,Analytics,"$112,140",1766819823,38442 Gregory Keys Apt. 311,Kelseyhaven,LA,38293,1991-01-05,On Leave
1766819852,Luke,Johnson,Luke.Johnson@company.com,2018-12-17,Sales Operations Analyst,Sales,41322,N/A,15716 Butler Creek Suite 754,South Lisaburgh,AL,04860,1977-08-28,On Leave
1766819853,Lori,Hood,Lori@Hood,2020-08-30,Talent Acquisition Specialist,HR,86580,1766819823,365 Tamara Course,Jodyview,ME,79694,2002-04-16,ACTIVE
1766819854,james,Bell,James.Bell@company.com,2018-08-06,Systems Administrator,IT,"$88,244",1766819848,1376 Mary Coves Apt. 327,New Amandafort,AS,20027,1982-10-03,Active
1766819855,David,HERRERA,David.Herrera@company.com,2023-09-20,Business Development Representative,Sales,120125,1766819841,624 Lisa Extension Apt. 291,Adrianville,WA,09890,1988-07-27,ACTIVE
1766819856,Joshua,VALDEZ,Joshua.Valdez@company.com,2020-07-23,Analytics Manager,Analytics,"$73,228",1766819823,70025 Wanda Walk Suite 300,West Teresa,OH,59052,1994-06-07,Active
1766819857,Tina,RAMIREZ,Tina.Ramirez@company.com,2018-09-26,systems administrator, it ,121612,1766819856,5333 Jessica Hills Apt. 666,East Kevin,NE,74011,1995-06-28,On Leave
1766819858,deborah,LONG,Deborah@Long,2020-01-05,Sales Manager,Sales,"$92,113",1766819851,08801 Lewis Row,Wileyville,PW,20258,1974-07-16,Terminated
1766819859,Melissa,Christensen,melissa.christensen@COMPANY.COM,2021-03-10,data analyst, analytics ,110283,1766819841,8576 Bond Turnpike Apt. 852,Osbornemouth,IL,22958,1988-07-12,ACTIVE
1766819860,Jason,MARSH,Jason.Marsh@company.com,2029-09-04,sales manager, sales ,"$76,875",1766819823,2303 Kevin Shore,Camerontown,RI,27294,1995-04-13,On Leave
1766819861,Joseph,RAMIREZ,Joseph.Ramirez@company.com,2023-09-24,Learning & Development Lead,HR,"$115,616",1766819858,94891 King Mall,Wigginsborough,MN,62217,1996-10-17,
1766819862,Melissa,Richardson,melissa.richardson@COMPANY.COM,2019-06-16,Sales Associate,Sales,"$130,005",1766819858,04096 Megan Station,Lorettaview,AZ,19291,1968-01-01,
1766819863,Jacqueline,Simmons,Jacqueline.Simmons@company.com,2025-05-02,IT Manager,IT,125450,1766819823,20914 Melissa Trace,Lake Kimberlyside,ID,30637,1960-04-28,Terminated
1766819864,James,SHAFFER,James.Shaffercompany.com,2020-09-06,Account Executive,Sales,139996,1766819860,18134 Ball Shoals,North Trevor,CT,89035,1998-05-18,
1766819865,lisa,Terry,Lisa.Terry@company.com,2023-08-30,Talent Acquisition Specialist,HR,145435,1766819860,14477 Nichols Fields Apt. 538,South Sarahaven,MI,07878,1981-07-25,Terminated
1766819866,anthony,ROBERTS,Anthony.Roberts@company.com,2025-12-15,product analyst, analytics ,63916,1766819841,0891 Martin Crescent,South Meganbury,MT,52972,1960-06-13,Active
1766819867,diana,Hall,Diana.Hall@company.com,2025-05-13,HR Manager,HR,"$111,276",1766819851,996 Emily Land,Kristenfurt,DC,81207,1973-08-22,
1766819868,elizabeth,Macias,Elizabeth.Macias@company.com,2017-12-23,analytics manager, analytics ,74576,1766819863,028 Orozco Wall,West Patrickport,MT,43127,1961-11-23,ACTIVE
1766819869,melissa,French,melissa.french@COMPANY.COM,2023-09-28,systems administrator, it ,"$111,924",1766819848,51624 Huffman Junction Suite 322,Allenchester,TX,86306,1977-03-31,Active
1766819870,anthony,Chavez,Anthony.Chavez@company.com,2023-04-19,IT Manager,IT,61806,1766819823,288 Mack Villages,Lake Heidi,AS,29674,1988-05-24,Active
1766819871,Rachel,Tyler,Rachel.Tyler@company.com,2022-05-20,IT Manager,IT,57473,1766819856,28360 Kenneth Green,Lake Marialand,OH,29175,1986-01-30,
1766819872,donna,BUTLER,Donna.Butler@company.com,2021-04-08,Security Analyst,IT,140658,1766819867,080 Jillian Crossroad Apt. 897,Morganborough,MH,84573,1981-05-29,
1766819873,ann,Perez,Ann.Perez@company.com,2022-07-10,Account Executive,Sales,"$137,790",1766819823,00510 Morgan Glens Apt. 227,Port Ronnieville,GU,71412,1998-07-03,ACTIVE
1766819874,amy,PUGH,Amy.Pugh@company.com,2021-11-25,Sales Manager,Sales,"$105,670",1766819870,003 Patricia Ways,Lawrencefurt,AS,94666,1985-01-10,On Leave
